Nombre;Autor;Fecha;Categoría
El futuro de la IA;Juan Pérez;15 de enero de 2024;Tecnología
Perdidos en el tiempo;Sara González;7 de febrero de 2024;Ciencia Ficción
Economía Moderna;David Fernández;12-03-2024;Economía
Exploradores del Espacio Profundo;Emilia García;5 de abril de 2024;Ciencia Ficción
Inteligencia Artificial en Medicina;Luisa Blanco;18-05-2024;Medicina
La última frontera;Miguel Verde;21 de junio de 2024;Aventura
Vivir sostenible;Amanda Martínez;14 de julio de 2024;Ecología
El Mundo Cuántico;Cristóbal López;19-08-2024;Física
Privacidad Digital y Tú;Rebeca Martín;10 de septiembre de 2024;Seguridad informática
Realidad Virtual: Una Nueva Era;Antonio Rodríguez;25 de octubre de 2024;Tecnología
